Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.5932639008032671079599350020,0.593263900803267,0.593263900803267,0.593263900803267,0.593263900803267,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,514802.1
0.02,0,0.6410851992523189699479406554,0.641085199252319,0.641085199252319,0.641085199252319,0.641085199252319,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,1029604
0.03,0,0.6532073267828023012704798036,0.653207326782802,0.653207326782802,0.653207326782802,0.653207326782802,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,1544406
0.04,0,0.6568159138841234768091121273,0.656815913884124,0.656815913884124,0.656815913884124,0.656815913884124,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,2059208
0.05,0,0.6575670767310300741519555672,0.65756707673103,0.65756707673103,0.65756707673103,0.65756707673103,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,2574010
0.06,0,0.6571700416999313119199885870,0.657170041699931,0.657170041699931,0.657170041699931,0.657170041699931,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,3088812
0.07,0,0.6562730147638025692904928080,0.656273014763802,0.656273014763802,0.656273014763802,0.656273014763802,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,3603614
0.08,0,0.6551578954629428588933279770,0.655157895462943,0.655157895462943,0.655157895462943,0.655157895462943,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,4118416
0.09,0,0.6539583067729089577652705562,0.653958306772909,0.653958306772909,0.653958306772909,0.653958306772909,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,4633219
0.10,0,0.6527409735844755044154966311,0.652740973584476,0.652740973584476,0.652740973584476,0.652740973584476,0,0,0,0,11.1775347635285781154,67.864562318581588518559114262,67.864562318581588518559114262,5148021
